Projects,NCBI_Taxonomy_Info,EBI_Taxonomy_Info
PXD001000,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
 ,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD001006,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
 ,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD001020,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD001031,{'4113': 'Solanum tuberosum'},"{'4113': ""'Solanum tuberosum (Potato)'""}"
PXD001034,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001042,{'508771': 'Toxoplasma gondii ME49'},"{'508771': ""'Toxoplasma gondii ME49'""}"
PXD001045,{'718308': 'biofilm metagenome'},"{'718308': ""'biofilm metagenome'""}"
PXD001054,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD001072,{'349161': 'Desulfotomaculum reducens MI-1'},"{'59610': ""'Desulfotomaculum reducens (strain MI-1)'""}"
PXD001090,{'4932': 'Saccharomyces cerevisiae'},"{'4932': '""Saccharomyces cerevisiae (Baker\'s yeast)""'}"
PXD001091,{'1314': 'Streptococcus pyogenes'},"{'1314': ""'Streptoccous pyogenes'""}"
PXD001099,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001156,{'4932': 'Saccharomyces cerevisiae'},"{'4932': '""Saccharomyces cerevisiae (Baker\'s yeast)""'}"
PXD001162,{'4932': 'Saccharomyces cerevisiae'},"{'4932': '""Saccharomyces cerevisiae (Baker\'s yeast)""'}"
PXD001174,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001183,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001210,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD001213,{'10116': 'Rattus norvegicus'},"{'10116': ""'Rattus norvegicus (Rat)'""}"
PXD001267,{'52638': 'Gammarus fossarum'},"{'52638': ""'Gammarus fossarum'""}"
PXD001268,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001286,{'3702': 'Arabidopsis thaliana'},"{'3702': ""'Arabidopsis thaliana (Mouse-ear cress)'""}"
PXD001311,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001323,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001324,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001325,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001326,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001327,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001328,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001349,{'3702': 'Arabidopsis thaliana'},"{'3702': ""'Arabidopsis thaliana (Mouse-ear cress)'""}"
PXD001351,{'38727': 'Panicum virgatum'},"{'38727': ""'Panicum virgatum (Switchgrass)'""}"
PXD001357,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001359,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001362,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001386,{'3702': 'Arabidopsis thaliana'},"{'3702': ""'Arabidopsis thaliana (Mouse-ear cress)'""}"
PXD001387,{'10090': 'Mus musculus'},"{'10090': ""'Mus musculus (Mouse)'""}"
PXD001390,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001401,{'67593': 'Phytophthora sojae'},"{'67593': ""'Phytophthora sojae'""}"
 ,{'1131323': 'Phytophthora pisi'},"{'1131323': ""'Phytophthora pisi'""}"
PXD001403,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001415,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001416,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001417,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001418,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001419,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001420,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001421,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001422,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001423,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001461,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001474,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001492,{'4932': 'Saccharomyces cerevisiae'},"{'4932': '""Saccharomyces cerevisiae (Baker\'s yeast)""'}"
PXD001528,{'7227': 'Drosophila melanogaster'},"{'7227': ""'Drosophila melanogaster (Fruit fly)'""}"
PXD001536,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001572,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001574,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001649,{'4896': 'Schizosaccharomyces pombe'},"{'4896': ""'Schizosaccharomyces pombe'""}"
PXD001677,{'9606': 'Homo sapiens'},"{'9606': ""'Homo sapiens (Human)'""}"
PXD001844,{'5476': 'Candida albicans'},"{'5476': ""'Candida albicans (Yeast)'""}"
PXD001910,{'338654': 'Bienertia sinuspersici'},"{'338654': ""'Bienertia sinuspersici'""}"
 ,0,"{'3702': ""'Arabidopsis thaliana (Mouse-ear cress)'""}"
